code,name
1104196,Sekolah Tinggi Seni Rupa dan Desain Indonesia
1104197,Sekolah Tinggi Teknik Lingkungan
1104198,Sekolah Tinggi Teknologi Adisutjipto
1104199,Sekolah Tinggi Teknologi Banten Jaya
1104200,Sekolah Tinggi Teknologi Fatahillah
1104201,Sekolah Tinggi Teknologi Industri Turen Malang
1104202,Sekolah Tinggi Teknologi Industri Turen Malang
1104203,Sekolah Tinggi Teknologi Nasional
1104204,Sekolah Tinggi Teknologi Ronggolawe
1104205,Sekolah Tingi Bahasa Asing Dinamik
1104206,Sekolan Tinggi Manajemen Informatika dan Ilmu Komputer El Rahma Yogyakarta
1104207,Sekretariat Jenderal DPR RI
1104208,Sosial Ekonomi Pertanian
1104209,STIE Pelita Nusantara Semarang
1104210,STIMED Nusa Palapa Makassar
1104212,Teknologi Universitas Diponegoro
1104213,TNI AU
1104600,TNI AU
1104214,Uniaversitas Tanjungpura
1104215,UNIKA Soegijapranata
1104230,Universitas 
1104232,Universitas 17 Agustus 1944
1104232,Universitas 17 Agustus 1945
1104233,Universitas 17 Agustus 1945 Samarinda
1104238,Universitas 45 Makassar
1104240,Universitas Abdurachman Saleh Sitobondo
1104243,Universitas Abulyatama
1104225,Universitas Airlangga
1104251,Universitas Al Azhar Indonesia
1104253,Universitas Andalas Padang
1104254,Universitas Andi Djemma
1104256,Universitas Balikpapan
1104257,Universitas Bandung Raya
1104258,Universitas Bangka Belitung
1104259,Universitas Bangun Nusantara
1104226,Universitas Bengkulu
1104260,Universitas Bhayangkara Surabaya
1104262,Universitas Bina Nusantara
1104263,Universitas Borneo
1104265,Universitas Bung Hatta Padang
1104266,Universitas Ciputra
1104267,Universitas Cokroaminoto
1104268,Universitas Dian Nuswantoro
1104227,Universitas Diponegoro
1104269,Universitas Diponegoro Medan
1104270,Universitas Diponegoro Semarang
1104272,Universitas Djuanda
1104274,Universitas Dr. Soetomo Surabaya
1104276,Universitas Ekasakti Padang 
1104277,Universitas Gadjah Mada
1104278,Universitas Gunugn RInjani
1104280,Universitas Hang Tuah Surabaya
1104281,Universitas Hasannudin
1104282,Universitas HKBP Nommensen
1104218,Universitas Indonesia
1104286,Universitas Internasional Batam
1104287,Universitas Islam
1104288,Universitas Islam Al-Azhar
179A1,Universitas Islam Bandung
1104289,Universitas Islam Batik
1104291,Universitas Islam Jember
1104292,Universitas Islam Kalimantan
1104228,Universitas Islam Malang
1104294,Universitas Islam Negeri Sunan Kalijaga
1104295,Universitas Islam Nusantara
1104296,Universitas Islam Sultan Agung
1104297,Universitas Islam Sumatera Utara
1104299,Universitas Islam Syekh Yusuf
1104301,Universitas Jambi
1104304,Universitas Janabadra Yogyakarta
184A1,Universitas Jember
1104306,Universitas Jenderal Soedirman Porwokerto
1104309,Universitas Katalok Widya Mandala Surabaya
1104310,Universitas Katolik Indonesia Atma Jaya
1104311,Universitas Katolik Parahyangan
1104313,Universitas Katolik Soegijapranata Semarang
1104316,Universitas Katolik Widya Karya Malang
1104317,Universitas Katolik Widya Mandala
1104319,Universitas Khairun
1104321,Universitas Kristen Artha Wacana Kupang
192A1,Universitas Kristen Duta Wacana
1104322,Universitas Kristen Immanuel Yogyakarta
1104323,Universitas Kristen Indonesia Maluku
1104324,Universitas Kristen Maranatha
1104325,Universitas Kristen Petra
134A1,Universitas Kristen Satya Wacana
1104327,Universitas Lakinende
1104328,UNIVERSITAS LAMPUNG 
1104329,Universitas Lancang Kuning Pekanbaru
1104330,Universitas Langlangbuana
1104331,Universitas LPP Yogyakarta
1104332,Universitas Ma Chung
1104334,Universitas Mahasaraswati Mataram
1104335,Universitas Makassar
1104216,Universitas Mataram 
1104336,Universitas Medan Area
1104337,Universitas Mercu buana yogyakarta
1104338,Universitas Merdeka
1104339,Universitas Merdeka Madiun
1104340,Universitas Merdeka Malang
1104341,Universitas Merdeka Ponorogo
1104342,Universitas Merdeka Surabaya
1104343,Universitas Moch Sroedji Jember
1104348,Universitas Muhamadiyah
1104349,Universitas Muhamadiyah Purwokerto
1104350,Universitas Muhamadiyah Sidoarjo
1104351,Universitas Muhamamadiyah Malang
1104352,Universitas Muhammadiyah
1104353,Universitas Muhammadiyah Gresik
1104354,Universitas Muhammadiyah Kupang
1104355,Universitas Muhammadiyah Makassar
1104356,Universitas Muhammadiyah Parepare
1104357,Universitas Muhammadiyah Ponogoro
1104358,Universitas Muhammadiyah Porwokerto
1104361,Universitas Muhammadiyah Surakarta
1104362,Universitas Muhammadiyah Syiah Kuala
1104363,Universitas Muhammadiyah Yogyakarta
1104365,Universitas Nahdlatul Ulama Surakarta
1104366,Universitas Negeri Bali
1104219,Universitas Negeri Jakarta
1104367,Universitas Negeri Makkasar
1104371,Universitas Negeri Medan
110A1,Universitas Negeri Padang
1104087,Universitas Negeri Papua
1104372,Universitas Negeri Semarang
1104368,Universitas Negeri Surabaya
1104369,Universitas Negeri Syiah Kuala
1104370,Universitas Negeri Yogykarta
1104373,Universitas Nurtanio 
1104374,Universitas Nusa Bangsa
1104016,Universitas Padjadjaran
1104377,Universitas Pakuan
1104379,Universitas Palangka Raya
1104382,Universitas Panca Bhakti
1104383,Universitas Pancasila
1104384,Universitas Paramadina
1104385,Universitas Pattimura Ambon
1104388,Universitas Pembangunan Nasional Veteran
1104394,Universitas Pembangunan Nasional Veteran Jawa Timur
1104396,Universitas Pembangunan Nasional Veteran Yogyakarta  
1104398,Universitas Pembangunan Veteran
1104221,Universitas Pendidikan Ganesha Singaraja
1104402,Universitas Pendidikan Indonesia Bandung
1104404,Universitas Pendidikan Nasional
1104405,Universitas Pendidikan Nasional Undiknas
1104407,Universitas Pertanian Negeri Kupang
1104408,Universitas Peternakan Perikanan Muhammadiyah
1104409,Universitas PGRI
1104410,Universitas PGRI Adi Buana Surabaya 
1104411,Universitas PGRI Ronggolawe Tuban
1104412,Universitas Prof. Dr. Hazairin Bengkulu
1104416,Universitas Prof. DR. Moestopo Beragama
1104418,Universitas Proklamasi 45
1104419,Universitas Putra Bangsa
1104420,Universitas Putri Bangsa
1104421,Universitas Sahid Surakarta
1104422,Universitas Sam Ratulangi Manado 
1104423,Universitas Sanata Dharma
1104424,Universitas Sarjana Winata Tanamasiswa
1104081,Universitas Sebelas Maret
1104430,Universitas Sekolah Tinggi Ilmu Ekonomi Indonesia
1104431,Universitas Semarang
1104433,Universitas Serambi Mekkah Banda Aceh
1104434,Universitas Setia Budi
1104435,Universitas Siliwangi
1104436,Universitas Sinata Dharma Yogyakarta
1104438,Universitas Singaperbangsa Karawang
1104439,Universitas Sintuwu Maroso Poso 
1104440,Universitas Slamet Riyadi
1104441,Universitas Slamet Riyadi Surakarta
1104442,Universitas Soegijapranata
1104443,Universitas Sriwijaya
1104444,Universitas Stikubank
1104445,Universitas Sultan Ageng Tirtayasa Banten
1104447,Universitas Sumatera Barat
1104448,Universitas Surakarta
1104449,Universitas Syah Kuala
1104508,Universitas Syiah Kuala
1104450,Universitas Syiah Kuala Banda Aceh
1104453,Universitas Tadulako Palu
1104454,Universitas Tamansiswa
1104455,Universitas Tamansiswa Padang
1104457,Universitas Tanjungpura Pontianak
1104458,Universitas Tarumanagara
1104461,Universitas Tribhuwana Tunggadewi Malang
1104464,Universitas Trunojoyo Madura
1104465,Universitas Tulungagung
1104466,Universitas Tunas Pembangunan Surakarta
1104229,Universitas Udayana
1104467,Universitas Veteran Bangun Nusantara
1104469,Universitas W.R. Supratman
1104470,Universitas Wangsa Manggala
1104471,Universitas Warmadewa
1104472,Universitas Widayagama Malang
1104473,Universitas Widya Dharma
1104474,Universitas Widya Gama
1104476,Universitas Widya Mandala Madiun
1104477,Universitas Widya Mandira Kupang
1104478,Universitas Widya Mataram
1104480,Universitas Widyagama Malang
1104483,Universitas Widyatama
1104485,Universitas Wijaya Kusuma Surabaya
1104486,Universitas Wijaya Putra
1104492,Universitas Winaya Mukti Sumedang
1104493,Universitas Wisnu Wardhana Malang
1104496,Universitas WR. Supratman Surabaya
1104497,Universitas Yarsi
1104498,Universitas Yogyakarta
1104499,Universitas Yos Soedarso Surabaya
1104500,Universitas Yudharta
1104501,Universtas Jambi
1104502,Univesitas Bengkulu
1104016,Univesitas Padjadjaran
1104505,Univesitas Tanjungpura
1104506,Univesrsitas Wijaya Kusuma Surabaya
1104507,Unversitas Jember
1104509,Widya Sari press.
